Epoch,LLDLwFW_valauc,LLDLwoFW_valauc,DenseModel_valauc,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainauc,LLDLwoFW_trainauc,DenseModel_trainauc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc
146,0.923076987,0.634355545,0.716216207,0.839999974,0.25999999,0.709999979,0.98526907,0.816651523,0.937155068,0.951111138,0.842222214,0.871111095
147,0.918399036,0.619542658,0.660343111,0.860000014,0.74000001,0.680000007,0.998434067,0.843709409,0.980758965,0.983333349,0.814444423,0.933333337
148,0.928274393,0.620062351,0.658783793,0.860000014,0.699999988,0.730000019,0.999864101,0.845090806,0.999129713,0.99777776,0.845555544,0.981111109
149,0.915800393,0.63331604,0.667879283,0.860000014,0.720000029,0.730000019,0.999909401,0.798617244,0.999987066,0.99333334,0.826666653,0.99666667
150,0.908263922,0.670478225,0.683471918,0.860000014,0.699999988,0.730000019,0.998783529,0.819395125,1,0.9911111,0.843333304,1
151,0.90904361,0.649168491,0.675935626,0.860000014,0.720000029,0.730000019,0.998061955,0.818770707,1,0.986666679,0.822222233,1
152,0.919178665,0.653066516,0.652027071,0.879999995,0.730000019,0.730000019,0.999980628,0.814263642,1,0.99777776,0.842222214,1
153,0.932172537,0.653066576,0.670738041,0.860000014,0.75,0.720000029,0.999068201,0.802389622,1,0.99333334,0.810000002,1
154,0.898128808,0.640332639,0.679313898,0.870000005,0.629999995,0.730000019,0.999883473,0.808682561,0.99999994,0.99777776,0.786666691,1
155,0.897089362,0.646569669,0.677494764,0.870000005,0.75,0.709999979,1,0.801868796,0.99999994,1,0.800000012,1
156,0.909823239,0.658523977,0.672037423,0.879999995,0.649999976,0.730000019,0.99999994,0.821934998,1.000000119,1,0.811111093,1
157,0.894230723,0.654885709,0.683991611,0.879999995,0.730000019,0.720000029,1,0.818912983,1,1,0.821111083,1
158,0.911902308,0.661382616,0.688929319,0.879999995,0.75,0.730000019,1.000000119,0.822277904,1.000000119,1,0.802222252,1
159,0.910602868,0.685031176,0.684511423,0.879999995,0.689999998,0.720000029,1,0.829276145,1,1,0.827777803,1
160,0.911382496,0.649428368,0.68477124,0.879999995,0.699999988,0.720000029,1,0.836468458,1,1,0.832222223,1
161,0.911382437,0.675935507,0.680353403,0.870000005,0.660000026,0.720000029,1,0.831612051,1,1,0.813333333,1
162,0.911382496,0.64163202,0.688149691,0.879999995,0.720000029,0.689999998,1,0.816564143,1.000000119,1,0.827777803,1
163,0.911382437,0.623960495,0.682692289,0.879999995,0.699999988,0.720000029,1,0.794323742,1,1,0.805555582,1
164,0.911642373,0.638513505,0.686850309,0.879999995,0.25999999,0.709999979,1.000000119,0.80657959,1,1,0.791111112,1
165,0.911642313,0.62915802,0.681392968,0.879999995,0.699999988,0.709999979,1,0.797465384,0.99999994,1,0.773333311,1
166,0.911902249,0.647089422,0.690488577,0.879999995,0.699999988,0.720000029,1,0.799697757,0.99999994,1,0.805555582,1
167,0.896309614,0.685810804,0.688409626,0.879999995,0.75,0.709999979,1,0.821313739,1.000000119,1,0.832222223,1
168,0.896049798,0.640592575,0.689968765,0.879999995,0.720000029,0.720000029,1,0.804890692,0.99999994,1,0.791111112,1
169,0.91112262,0.663981259,0.692307651,0.879999995,0.25999999,0.720000029,1,0.819155693,1,1,0.827777803,1
170,0.912162006,0.684251547,0.690228701,0.879999995,0.709999979,0.730000019,0.99999994,0.821242511,1,1,0.75999999,1
171,0.894750476,0.649948061,0.688929319,0.879999995,0.709999979,0.720000029,0.99999994,0.817162693,0.99999994,1,0.813333333,1
172,0.895270109,0.657744408,0.681912661,0.879999995,0.720000029,0.699999988,1,0.798474789,0.99999994,1,0.821111083,1
173,0.89579004,0.676195443,0.68399173,0.879999995,0.74000001,0.709999979,1.000000119,0.798105955,0.99999994,1,0.785555542,1
174,0.896309733,0.649168372,0.692047834,0.879999995,0.720000029,0.730000019,1,0.826991796,0.99999994,1,0.835555553,1
175,0.896829426,0.688669384,0.691787899,0.879999995,0.709999979,0.709999979,1,0.825196266,1,1,0.818888903,1
176,0.896309793,0.647349238,0.689189136,0.879999995,0.689999998,0.720000029,1,0.817123771,1.000000119,1,0.823333323,1
177,0.891891897,0.638513625,0.689449191,0.879999995,0.720000029,0.709999979,1,0.831088006,0.99999994,1,0.815555573,1
178,0.894750476,0.626819193,0.715176642,0.879999995,0.689999998,0.670000017,1,0.832210541,0.99749583,1,0.812222242,0.99555558
179,0.891372085,0.620322287,0.698284924,0.879999995,0.689999998,0.699999988,1,0.841612816,0.904677689,1,0.825555563,0.842222214
180,0.9069646,0.603690267,0.64656961,0.879999995,0.699999988,0.699999988,0.99999994,0.854402483,0.973469496,1,0.872222245,0.912222207
181,0.89033258,0.579521775,0.641112328,0.879999995,0.639999986,0.629999995,1,0.832006812,0.981978595,1,0.822222233,0.936666667
182,0.891372204,0.617723465,0.652546704,0.879999995,0.709999979,0.720000029,1,0.84308821,0.997621894,1,0.855555534,0.974444449
183,0.890852392,0.591735959,0.668139338,0.879999995,0.769999981,0.720000029,1,0.837850034,0.999974132,1,0.835555553,0.99666667
184,0.891372204,0.596673667,0.678794265,0.879999995,0.699999988,0.709999979,1,0.834934831,1,1,0.868888915,1
185,0.891372085,0.583939731,0.6777547,0.879999995,0.699999988,0.709999979,1,0.747516811,0.99999994,1,0.765555561,1
186,0.890072763,0.634615421,0.678274453,0.879999995,0.720000029,0.709999979,1,0.796446204,1.000000119,1,0.774444461,1
187,0.890072703,0.674896061,0.679833651,0.879999995,0.699999988,0.720000029,1,0.798018694,1.000000119,1,0.791111112,1
