Epoch,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc,LLDLwFW_v1_valacc,LLDLwFW_v1_trainacc
284,0.879999995,0.569999993,0.699999988,1,0.692222238,1,0.860000014,0.964444458
285,0.879999995,0.720000029,0.709999979,1,0.680000007,1,0.870000005,0.976666689
286,0.879999995,0.600000024,0.709999979,1,0.676666677,1,0.870000005,0.99222225
287,0.870000005,0.589999974,0.720000029,1,0.685555577,1,0.870000005,0.99888891
288,0.879999995,0.579999983,0.709999979,1,0.707777798,1,0.860000014,1
289,0.870000005,0.620000005,0.720000029,1,0.699999988,1,0.879999995,1
290,0.870000005,0.629999995,0.709999979,1,0.681111097,1,0.870000005,1
291,0.870000005,0.74000001,0.709999979,1,0.704444468,1,0.870000005,1
292,0.870000005,0.610000014,0.720000029,1,0.718888879,1,0.870000005,1
293,0.870000005,0.670000017,0.709999979,1,0.718888879,1,0.870000005,1
294,0.870000005,0.639999986,0.709999979,1,0.728888869,1,0.870000005,1
295,0.860000014,0.569999993,0.709999979,1,0.717777789,1,0.870000005,1
296,0.860000014,0.579999983,0.709999979,1,0.695555568,1,0.870000005,1
297,0.860000014,0.600000024,0.709999979,1,0.695555568,1,0.870000005,1
298,0.860000014,0.569999993,0.720000029,1,0.711111128,1,0.870000005,1
299,0.860000014,0.540000021,0.709999979,1,0.685555577,1,0.870000005,1
300,0.860000014,0.610000014,0.709999979,1,0.693333328,1,0.870000005,1
301,0.860000014,0.49000001,0.709999979,1,0.685555577,1,0.870000005,1
302,0.860000014,0.579999983,0.720000029,1,0.696666658,1,0.870000005,1
303,0.860000014,0.589999974,0.709999979,1,0.705555558,1,0.870000005,1
304,0.860000014,0.600000024,0.709999979,1,0.692222238,1,0.870000005,1
305,0.860000014,0.649999976,0.709999979,1,0.704444468,1,0.870000005,1
306,0.860000014,0.600000024,0.709999979,1,0.723333359,1,0.870000005,1
